Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Arab World,ARB,10450.20854,11768.47245,13778.16196,14232.69118,14025.50864,14354.37992,14444.87792,15056.31677,15174.1017,15199.00892,15342.76648,15500.53052
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific,EAS,4964.741818,7178.886568,10350.21484,10813.71975,11132.15071,11964.94782,12610.42886,13242.78569,13897.32147,14518.18371,15143.10143,15788.22849
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (excluding high income),EAP,2226.475036,4149.552499,7158.065545,7690.443941,8201.571112,8925.16475,9592.577194,10232.0163,10878.28857,11517.6438,12169.18083,12838.08583
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Euro area,EMU,28115.88283,34082.18932,38009.38316,37994.69103,36135.41488,36786.64655,37434.34967,37000.18359,36773.15809,37140.04125,37795.29058,38359.70463
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia,ECS,20561.8507,22220.7028,27450.80988,27781.99016,26379.59372,27035.97329,27766.59967,27856.51341,28078.65733,28463.15357,28801.84289,29176.605
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (excluding high income),ECA,13652.2761,10205.30084,16012.63669,16706.47692,15639.69843,16339.20613,17266.78239,17780.96382,18335.38192,18588.81613,18505.61102,18655.00463
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,European Union,EUU,24875.03787,30325.54297,34998.89402,35110.53287,33502.64303,34102.6594,34720.33564,34498.48138,34495.55926,35007.9413,35737.63286,36357.07392
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Heavily indebted poor countries (HIPC),HPC,1482.499223,1435.771545,1692.48931,1746.152799,1772.961285,1823.758366,1861.851773,1916.995218,1974.142455,2028.924951,2075.113894,2113.669306
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,High income,HIC,28447.45647,35153.37811,39964.86773,39873.42922,38278.39009,39243.69268,39921.97995,40222.84058,40567.21749,41163.88452,41900.91825,42350.83087
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Latin America & Caribbean,LCN,9780.744366,11458.6726,13191.73197,13528.64743,13089.63949,13701.07401,14141.60132,14379.34903,14625.59236,14643.29,14568.25215,14412.23721
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Latin America & Caribbean (excluding high income),LAC,9567.729329,10848.87637,12364.44325,12681.6938,12311.63528,12843.6307,13233.72355,13494.38599,13722.51296,13787.20157,13659.78363,13528.49989
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Least developed countries: UN classification,LDC,1305.509846,1417.728482,1896.975558,1985.874639,2040.165027,2116.753777,2158.72883,2206.419366,2288.487047,2358.794733,2386.371898,2417.224713
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Low & middle income,LMY,4166.961328,4828.135707,6882.024888,7176.381006,7298.33178,7746.160637,8109.182524,8427.405262,8757.066573,9064.617566,9334.022683,9646.696455
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Low income,LIC,1445.041276,1363.941126,1565.104136,1601.631379,1641.945993,1707.052577,1737.573623,1757.941144,1821.349992,1874.285732,1844.112599,1829.84474
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lower middle income,LMC,2732.930278,3170.084856,4387.204939,4528.95214,4695.217813,4970.466106,5165.748786,5350.088739,5563.43018,5798.152566,6053.883716,6295.706973
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Middle East & North Africa,MEA,11859.98878,13554.72694,16182.20295,16545.13483,16338.54991,16802.82884,16964.64604,17228.83023,17301.72045,17444.34786,17505.67476,18043.60383
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Middle East & North Africa (excluding high income),MNA,8102.149261,9203.339682,11148.41932,11344.81488,11434.20754,11815.42908,11532.35573,11610.33788,11596.46358,11645.16217,11552.92418,12139.78747
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Middle income,MIC,4422.810043,5191.175663,7494.928793,7828.983066,7971.678224,8475.470232,8888.09503,9253.561792,9628.519035,9980.894712,10300.33069,10668.24565
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,North America,NAC,36485.72225,45146.13393,50091.65362,49521.43568,47706.75714,48516.5057,48978.07671,49651.32774,50137.01637,51034.86936,52016.22316,52375.11954
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,OECD members,OED,26932.3104,32809.28234,36923.40904,36738.33082,35207.11158,36023.05756,36562.43188,36819.38498,37130.95476,37646.75101,38294.44909,38724.79433
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,South Asia,SAS,1847.597556,2520.236474,3588.229928,3669.82913,3887.939733,4173.310172,4371.638183,4547.649923,4758.13957,5022.284611,5332.822278,5624.744718
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sub-Saharan Africa,SSF,2513.888302,2379.286194,3040.484324,3121.923539,3138.268221,3227.606154,3294.688904,3327.876874,3405.807014,3478.798839,3499.271211,3458.964427
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Sub-Saharan Africa (excluding high income),SSA,2512.301851,2377.338331,3038.601861,3120.155128,3136.574026,3225.858814,3292.821886,3326.039896,3403.906493,3476.863681,3497.287982,3456.932873
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Upper middle income,UMC,5997.783924,7226.028301,10822.64973,11392.1835,11536.95328,12320.00847,13002.5153,13599.83113,14186.82626,14703.16274,15125.58535,15669.1344
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,World,WLD,8925.589983,10345.60223,12671.50753,12873.9764,12669.07709,13175.93399,13555.67622,13838.01198,14137.54695,14462.38813,14778.02574,15080.37928
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,,,1284.775213,1298.143159,1531.173993,1614.255001,1660.739856,1839.273579,1848.700026,1838.960244,1809.016488,1802.695565
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,4722.838166,5668.574777,8754.569513,9153.788206,9524.649303,9927.181841,10207.7647,10369.82338,10492.80628,10701.12079,10970.45224,11356.34133
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,10236.84066,10211.00186,12570.6547,12660.40324,12647.5403,12870.6027,12990.34502,13161.96167,13253.61548,13483.33786,13724.72385,13921.18002
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,3430.798427,2873.19301,5443.117933,5978.323249,5908.042248,5897.682841,5911.254092,5999.902106,6188.003756,6257.152874,6227.664689,5972.451513
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,16381.01836,18908.49435,24408.18152,24111.37708,20942.30118,19212.72013,18605.31675,19047.20024,18823.75445,19573.83412,20154.94749,21013.01763
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,10815.71512,14899.87005,17900.70634,18436.86247,17168.37894,18712.06308,19629.35185,19224.8744,19482.1903,18797.54795,19116.90791,18584.58
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,3742.437371,2924.74738,7010.627056,7558.361648,6532.964231,6702.848006,7022.103943,7511.132482,7727.929092,7971.117928,8195.93365,8190.239289
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,,,,,,,35973.78051,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,28658.36589,35377.72955,40680.18963,41331.52797,41266.86638,41464.04007,41894.17305,42754.45629,43118.08613,43547.19748,43923.25827,44493.48089
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,31341.90238,38844.40471,43939.42529,44441.78853,42656.85416,43336.19785,44452.73275,44551.61757,44301.10403,44320.50201,44304.96776,44464.35027
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,8513.310693,4458.998423,13243.21286,14364.99423,15393.89329,15950.25746,15754.15236,15888.218,16593.18876,16715.10552,16698.86365,16001.3234
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,30991.96834,32990.76145,32409.68704,31080.15801,29263.80325,29221.99118,28941.02823,29395.61972,28871.35826,28456.81653,28407.12582,27613.51794
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,35113.33294,44942.36902,42755.4262,42218.14849,40717.18041,40570.53569,40164.58274,40960.33318,42680.20134,43837.34406,43926.47404,43642.97257
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,1287.933664,1641.958768,2148.473993,2252.168733,2339.865769,2442.728888,2570.850145,2706.586745,2835.76662,2973.041565,3132.56754,3319.352805
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,14434.32932,15467.82067,17244.75307,17189.23225,16433.45664,16417.96245,16472.0832,16463.765,16409.91709,16359.19074,16458.10353,16741.37976
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,8353.906165,7562.883999,13539.60277,14972.26946,15035.69965,16235.17145,17166.69564,17479.9294,17656.11934,17944.20985,17229.55519,16773.19355
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,30647.82135,37188.64369,41623.44174,41619.34008,40355.57312,41085.91894,41248.72534,41046.48119,40928.13661,41360.39558,41708.21234,42083.6443
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,5165.86722,6960.676754,7902.772467,7951.197453,7809.849846,7876.809586,7857.248066,7974.034168,7856.379109,7999.573692,8127.659294,7919.147241
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,1462.677421,1666.467464,1805.622568,1841.188447,1831.881827,1818.778461,1820.894693,1855.953118,1934.649107,2001.077289,1987.14192,2009.618321
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,40553.25852,51140.23684,60117.45991,60675.98209,57151.91913,56395.0078,54984.51039,52137.30037,50669.31477,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,2325.241884,3538.773616,5446.362486,5592.162848,5851.678019,6419.675599,6805.878456,7032.74666,7070.792468,7366.424126,7743.337996,8253.293783
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,3707.24493,4412.255566,4972.49627,5191.131904,5278.038268,5407.47022,5598.508445,5792.933051,6090.69557,6324.827258,6531.519398,6707.956184
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,,6324.924675,9278.973885,9824.105697,9573.738874,9720.342177,9901.610202,9929.707283,10284.78455,10516.78644,10932.45948,11337.57026
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,8110.440465,10410.70268,13175.17963,13768.33844,12499.4074,13334.1988,13889.27047,14244.49431,15568.27337,15914.67023,15356.77092,15727.1678
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Brazil,BRA,10344.86439,11370.97094,13268.4139,13802.81799,13649.86584,14537.56719,14973.09847,15119.91214,15432.89363,15374.26151,14702.59127,14077.12141
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,84672.3915,82049.58086,84503.53876,81905.65813,79512.75501,80552.86447,82434.88309,81993.93208,79070.24593,76089.28657,74600.1643,71788.78339
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,9296.952206,8833.446566,14463.18326,15442.15174,14984.60638,15283.29148,15676.15054,15772.09659,15997.3568,16302.32056,17000.17804,17794.54276
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,844.3421676,1075.395337,1338.838375,1393.696993,1392.200194,1423.377706,1472.716482,1521.454295,1562.304708,1582.333697,1596.334581,1642.322003
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,1087.488728,754.0962802,747.6764747,759.3399325,760.0617234,763.8319302,771.5094237,778.7354836,790.7145176,803.1728374,748.4152713,721.1765615
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cape Verde,CPV,1656.907503,3835.238606,5633.93311,5944.038825,5806.646232,5828.241588,5991.77849,5986.939054,5963.907977,5928.199025,5915.122633,6065.27874
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,,1384.956024,2332.726846,2452.278159,2417.876281,2522.926825,2658.709247,2807.007055,2964.19717,3124.319293,3290.952454,3465.125565
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cameroon,CMR,3020.491911,2603.771592,2907.826607,2927.844648,2911.296669,2929.829113,2969.047575,3021.20597,3100.17131,3196.361526,3289.064546,3346.817793
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Canada,CAN,31299.65457,37431.91698,41647.38781,41611.25081,39924.1959,40699.35513,41565.27122,41794.53892,42339.37888,43079.14252,43149.47584,43238.2596
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,,,,,,,49903.02854,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Central African Republic,CAF,925.0538529,813.0415579,857.0792965,860.6778285,863.692983,881.1445508,904.6104858,938.8237795,593.0559545,597.135169,621.5698429,642.873494
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Chad,TCD,1110.43798,993.1829822,1741.487056,1736.919173,1752.119931,1925.195118,1863.845605,1962.87773,2007.077319,2076.650008,2067.101322,1878.378483
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Channel Islands,CHI,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Chile,CHL,8991.846477,14315.42606,18572.56839,19031.61643,18547.46153,19442.05032,20437.70453,21330.23991,21998.30715,22195.27437,22516.60786,22614.39367
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,China,CHN,1526.408699,3700.743648,7285.274415,7947.787952,8651.725901,9525.818483,10384.3666,11145.75158,11951.24796,12758.64779,13569.89153,14400.88506
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Colombia,COL,7533.518385,8308.22295,10306.94749,10547.26039,10599.9626,10900.50528,11496.47771,11840.24043,12296.29554,12715.96739,12985.38313,13135.0099
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Comoros,COM,1599.95155,1480.917674,1451.421611,1422.622349,1415.84569,1412.502687,1414.611723,1422.229487,1437.004907,1432.088748,1413.059277,1411.152339
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Congo, Dem. Rep.",COD,1386.830748,573.1708503,623.1286665,640.4783066,637.2751488,660.2109558,682.4321554,706.7979638,741.6184302,785.3473407,812.4033701,805.0642641
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Congo, Rep.",COG,5140.416146,4480.147677,4637.212916,4730.033797,4918.072012,5186.344788,5213.946921,5271.16806,5317.086292,5538.052941,5542.892982,5250.867608
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Costa Rica,CRI,7787.161762,9878.288691,12433.2016,12834.93616,12543.9779,12999.99219,13397.23054,13878.0474,14035.28798,14372.40078,14738.60762,15195.00141
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cote d'Ivoire,CIV,3193.758531,2947.606573,2662.331114,2672.337082,2698.554349,2690.258002,2511.420195,2712.378026,2879.850217,3054.534874,3241.612056,3424.964021
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Croatia,HRV,,15742.41369,21560.53096,22010.65051,20410.42415,20171.95753,20750.44332,20346.75535,20271.28013,20334.44647,20983.98528,21799.93281
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cuba,CUB,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Curacao,CUW,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Cyprus,CYP,23300.67477,30085.77412,35502.95597,35960.35272,34387.34837,33941.13802,33192.37985,31690.70277,29879.56721,29786.17439,30549.10097,31331.393
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Czech Republic,CZE,20023.13599,21193.90171,28844.06719,29373.10923,27803.58716,28352.9494,28797.41796,28527.13873,28379.74612,29119.61661,30605.42052,31338.87521
