Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Denmark,DNK,33785.65014,42337.71437,46373.51666,45865.79596,43382.62546,43998.43667,44403.39415,44336.81246,44564.45216,45057.07417,45458.69715,45991.22478
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Djibouti,DJI,,,,,,,2705.405589,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Dominica,DMA,6730.022762,8175.435071,9634.767146,10302.8277,10160.15211,10198.27337,10135.27403,9981.101135,9871.672665,10255.21705,9941.894925,10151.34256
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Dominican Republic,DOM,5477.061465,8200.378427,10271.22129,10455.48321,10412.601,11132.55269,11333.54709,11494.94971,11907.20486,12663.04225,13395.9168,14120.21164
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Ecuador,ECU,7472.025128,7387.615879,8879.636854,9285.864407,9183.552558,9352.344237,9926.903441,10322.1789,10665.46258,10901.41856,10749.12887,10424.26415
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Egypt, Arab Rep.",EGY,5909.161575,7388.356411,8838.524796,9305.414955,9561.847569,9857.468282,9823.823287,9822.420181,9814.21213,9879.799359,10095.61017,10324.10114
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,El Salvador,SLV,4544.585408,5656.242809,6253.15152,6358.132981,6198.304499,6300.775388,6511.443727,6663.811622,6789.860003,6890.723224,7019.591789,7164.143497
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Equatorial Guinea,GNQ,999.5045346,10792.73302,35570.72507,40015.81919,38738.15203,33723.3658,34363.15291,35632.04564,32736.09743,31542.51077,27554.19987,24240.4283
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Eritrea,ERI,,1679.147143,1563.488302,1384.103605,1411.841397,1416.365802,1510.458929,,,,,1510.458929
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Estonia,EST,,15703.02747,27383.46956,25968.97281,22187.9264,22740.972,24543.06747,25691.99964,26282.90884,27113.68592,27549.58137,28109.81704
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Eswatini,SWZ,5378.167768,5839.267051,7253.489219,7183.959074,7161.806823,7296.511119,7323.997665,7528.841673,7865.438371,7870.970748,7758.495563,7723.641059
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Ethiopia,ETH,651.9530906,618.2422187,856.9948399,924.518762,979.6225122,1073.826295,1162.783317,1230.575484,1325.755137,1424.526984,1533.107632,1608.293476
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Faroe Islands,FRO,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Fiji,FJI,5891.290081,6673.847391,7383.264069,7384.086057,7208.005111,7352.08836,7488.829381,7537.926213,7839.874778,8222.253784,8477.64473,8447.264179
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Finland,FIN,28905.57032,34887.1788,42467.261,42574.64114,38867.79945,39848.1345,40683.52758,39912.94136,39428.31206,39017.53721,38941.7636,39659.16604
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,France,FRA,29514.85381,34880.88182,37755.29451,37618.20734,36324.36154,36855.84468,37440.64149,37327.9444,37350.27827,37523.72758,37766.37411,38062.63973
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,French Polynesia,PYF,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Gabon,GAB,19500.92869,17782.69815,16312.57632,15288.14489,14822.39055,15355.78465,15893.54772,16159.72185,16503.06836,16678.63813,16836.78342,16756.69447
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Gambia, The",GMB,1506.404687,1549.585721,1507.698583,1544.52974,1593.016555,1644.242366,1524.768774,1560.330276,1584.753591,1550.218432,1568.036025,1554.897138
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Georgia,GEO,8006.504234,3263.859262,6183.343492,6408.060335,6254.867608,6733.783761,7315.090898,7881.329048,8254.010766,8749.156189,9025.133143,9276.766245
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Germany,DEU,31287.06981,36764.56293,40473.52745,40989.44311,38784.45248,40428.72103,42692.51976,42822.0994,42914.47611,43560.61924,43937.94713,44431.82284
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Ghana,GHA,1919.601511,2259.063142,2675.443544,2845.234552,2907.546933,3059.383626,3404.459566,3632.44568,3807.342653,3868.600894,3926.709045,3982.769467
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Gibraltar,GIB,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Greece,GRC,20686.13676,24839.07591,32073.9604,31881.71235,30430.41942,28726.07928,26141.31959,24364.26906,23746.08457,24081.63054,24170.30184,24211.74089
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Greenland,GRL,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Grenada,GRD,7241.559208,9651.488815,12043.5899,12117.64806,11276.48656,11177.99972,11220.82837,11048.50429,11262.6988,12038.47087,12757.96625,13167.05216
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Guam,GUM,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Guatemala,GTM,5100.779193,6070.72006,6713.146445,6781.899637,6669.999875,6714.063596,6844.49564,6899.108739,7005.026928,7147.429228,7292.719104,7368.610322
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Guinea,GIN,1411.948921,1420.633253,1558.541551,1587.41529,1534.97162,1573.544958,1625.560273,1684.153841,1711.708994,1734.736747,1758.315595,1894.441299
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Guinea-Bissau,GNB,1573.87189,1363.340995,1350.202744,1360.632824,1372.54239,1400.363293,1475.38909,1412.954212,1421.34057,1398.254806,1446.489402,1498.839838
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Guyana,GUY,2843.143276,4521.902893,5308.387985,5424.595121,5621.963301,5847.857255,6130.837616,6420.114762,6696.783715,6906.012309,7076.935019,7266.335285
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Haiti,HTI,,1739.39252,1599.802401,1588.677968,1613.087962,1502.032711,1562.278874,1584.832466,1629.358918,1652.854803,1651.228445,1654.170537
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Honduras,HND,3171.671357,3328.510589,4002.205166,4084.298699,3904.459519,3971.182994,4046.076252,4136.822058,4177.580271,4231.325067,4319.470118,4406.773532
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Hong Kong SAR, China",HKG,26974.16489,34016.64226,45937.39283,46635.08799,45390.45286,48107.70863,50085.95933,50378.33792,51732.44253,52789.42536,53591.83582,54412.92494
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Hungary,HUN,,17951.73552,23491.74789,23734.24453,22202.15702,22404.2392,22841.21034,22582.07281,23119.01697,24161.42552,25034.45073,25664.136
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Iceland,ISL,,34044.64902,43427.85293,43334.90052,40377.83351,38978.0056,39621.93566,39931.60936,41259.79596,41701.13727,43048.12515,45630.93817
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,India,IND,1754.85733,2495.046633,3698.77749,3786.632677,4049.805115,4404.697005,4635.879137,4827.559656,5073.605489,5385.141814,5756.664665,6095.722796
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Indonesia,IDN,4625.37726,5805.808706,7450.602158,7792.629931,8044.97033,8433.497357,8837.820122,9251.175537,9643.27483,10003.08903,10367.70199,10766.37145
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Iran, Islamic Rep.",IRN,11392.56363,13135.47202,17338.12648,17187.28763,17162.05336,17942.83284,18192.1056,16625.91922,16383.26035,16924.20068,16500.90051,18497.67433
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Iraq,IRQ,11521.73054,12176.81465,11575.28738,12217.44846,12299.40046,12717.59753,13261.60145,14625.97401,15223.58271,14838.38295,15072.86867,16242.06902
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Ireland,IRL,21453.2404,38849.86076,48937.49415,46062.62864,43487.47903,44030.41415,45147.37624,44973.17526,45470.15851,48898.32866,60818.04624,63227.20798
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Isle of Man,IMN,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Israel,ISR,20520.4105,26824.70512,28744.35656,29082.06885,28787.49869,29743.00587,30558.39128,30582.15371,31250.80201,31702.08354,32024.35277,32688.4081
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Italy,ITA,31141.90286,36535.81877,38612.01165,37954.16066,35710.42,36201.16157,36347.34248,35227.62483,34219.83278,33945.84388,34302.0374,34655.26276
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Jamaica,JAM,7285.747238,7931.258686,8680.920903,8565.228626,8153.001926,7996.019488,8099.155573,8016.04319,8025.471361,8051.244028,8095.261867,8179.62034
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Japan,JPN,30582.42797,33871.85822,36697.2409,36278.36947,34317.67082,35749.75668,35774.69671,36367.59706,37148.60275,37337.31741,37882.98062,38282.50467
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Jordan,JOR,6283.255604,7234.964751,9493.477498,9714.782337,9749.143628,9472.768326,9214.206624,8964.263431,8756.710839,8622.185468,8491.050311,8389.604574
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kazakhstan,KAZ,13050.4865,9951.563906,18885.24324,19272.21401,18995.89485,20096.55976,21276.93402,21986.31892,22972.43103,23587.33752,23524.06044,23447.0157
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kenya,KEN,2380.495384,2132.161897,2394.837644,2335.252407,2347.197992,2476.010742,2556.962872,2602.597687,2683.045833,2753.236135,2835.99661,2926.532502
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kiribati,KIR,1961.120713,2007.130484,1905.481251,1829.829439,1796.298077,1731.538627,1706.480953,1762.060349,1830.937792,1815.128315,1967.302051,1955.155799
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Korea, Dem. People’s Rep.",PRK,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Korea, Rep.",KOR,11632.59856,20756.7799,28013.70442,28588.37212,28642.8379,30352.10482,31228.5107,31776.89703,32548.71552,33425.68959,34177.65447,35020.41151
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kosovo,XKX,,4622.773066,7390.074096,7524.844206,7714.092433,7905.638414,8215.22394,8386.589965,8584.475807,8698.291559,9154.943527,9451.90894
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kuwait,KWT,,69920.17568,96870.42782,93698.4616,81922.53712,75204.14512,77459.53831,77618.00034,74084.52144,70832.36836,68476.32504,68861.7921
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Kyrgyz Republic,KGZ,3474.667969,2074.505287,2599.206018,2790.9349,2837.031419,2790.170664,2920.60321,2869.838962,3120.542044,3181.642163,3237.602937,3309.859929
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Laos,LAO,1708.034226,2485.025142,3520.745005,3732.007533,3946.861002,4218.782044,4495.15215,4794.108611,5115.592478,5436.482643,5755.059505,6073.223695
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Latvia,LVA,,11175.15329,21939.07435,21384.31346,18609.33284,18251.95328,19773.38372,20827.9116,21563.72143,22172.25351,23018.81611,23743.25782
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lebanon,LBN,7857.72417,12531.82228,13293.12842,14597.62576,15788.40732,16451.75983,15693.68728,15057.28703,14400.6408,13831.37523,13352.71339,13267.8857
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lesotho,LSO,1379.399899,1781.183614,2105.497115,2227.571688,2253.833856,2365.683461,2500.014871,2617.302097,2631.004823,2677.198078,2708.148539,2736.354895
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Liberia,LBR,875.1895802,838.6989396,656.871762,674.9848368,683.0614422,699.6537215,734.3262738,771.9054262,818.5893908,804.7198867,785.2468867,753.557379
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Libya,LBY,,21921.55202,28621.6269,28983.51723,28435.18422,29630.22215,11192.79064,24956.37515,21570.27049,16371.90215,14847.19705,14298.45505
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lithuania,LTU,,12189.96218,22729.21361,23567.70271,20300.50375,21070.63433,22854.33217,24049.35398,25143.91511,26258.2101,27045.71302,28033.87393
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Luxembourg,LUX,57618.0207,81689.8164,97864.1951,94900.34672,89098.73424,91743.29389,92005.01684,89505.15896,90656.38042,93655.33416,94088.59223,94920.95872
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Macao SAR, China",MAC,40365.34557,42225.49708,79743.38201,80762.39969,80121.22302,98184.3365,116752.2116,124568.5999,135318.7544,130755.1607,100444.5936,97751.73216
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Macedonia, FYR",MKD,9633.199073,8620.649199,10480.62426,11043.82773,10995.10179,11355.36749,11611.85199,11549.66814,11877.77368,12298.49018,12759.8166,13120.87251
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Madagascar,MDG,1653.1589,1444.029429,1462.858323,1523.019873,1421.188472,1385.685072,1367.543082,1370.950275,1364.345909,1372.020961,1377.168213,1396.669615
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malawi,MWI,744.1970806,865.957498,908.3108489,948.2265195,996.2452685,1032.962881,1051.185996,1039.759359,1062.164941,1090.367208,1088.701805,1083.801421
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malaysia,MYS,10551.65896,16310.09276,20093.26869,20687.13112,20009.19928,21107.26794,21818.87569,22590.79152,23224.18844,24194.63391,25001.61267,25668.88436
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Maldives,MDV,,9768.22998,11951.81411,12744.78319,11508.40226,12005.50462,12664.99068,12611.58587,13148.73197,13737.41416,13705.00535,14231.53415
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mali,MLI,1271.794077,1462.919767,1784.878485,1808.887626,1832.808081,1871.984744,1874.70303,1804.942604,1793.723666,1865.160622,1919.228421,1971.08448
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Malta,MLT,16176.49077,24623.95372,27696.50573,28437.73786,27529.19297,28364.79932,28618.50259,29131.73091,30050.13114,31846.18954,34087.08151,35058.43078
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,2907.880972,2893.836644,3396.818863,3335.763023,3274.794201,3479.155303,3513.291213,3626.424778,3720.958116,3685.462574,3665.375373,3730.333989
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mauritania,MRT,2806.73383,2751.155549,3448.64871,3388.835433,3259.07635,3316.97478,3371.994582,3462.56176,3565.521999,3655.388509,3601.614223,3572.280392
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mauritius,MUS,7386.824387,11077.14762,14146.39842,14854.64338,15306.38801,15938.41921,16561.77098,17093.32093,17628.82937,18255.86972,18864.10566,19567.48966
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mexico,MEX,13070.44455,15682.81217,16371.75155,16293.0313,15185.53739,15715.97214,16049.36424,16394.63067,16385.05961,16622.59705,16938.60541,17206.63432
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Micronesia, Fed. Sts.",FSM,2721.056867,3119.115444,3221.063128,3167.71663,3220.976301,3297.656934,3412.906554,3343.876355,3208.682874,3130.05445,3271.267021,3253.479755
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Moldova,MDA,,2321.027796,3588.621318,3875.904364,3647.9523,3910.860533,4179.214809,4150.504763,4541.868222,4762.780873,4746.784911,4963.398344
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Monaco,MCO,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mongolia,MNG,5122.531607,4655.022604,7055.138106,7576.481363,7367.785987,7708.599994,8881.48475,9788.825022,10720.06215,11348.64734,11411.94211,11361.00642
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Montenegro,MNE,,10396.79008,13602.58797,14559.21315,13686.10006,14034.58456,14472.47354,14066.4356,14551.44671,14796.6354,15289.72119,15737.02492
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Morocco,MAR,3912.005724,4483.808406,5834.012241,6106.845445,6287.870644,6443.253613,6688.402606,6791.335135,6995.938186,7078.881489,7296.934401,7285.908321
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Mozambique,MOZ,378.5342735,561.6127534,826.162668,857.5268817,885.7385176,917.763832,954.7991162,994.1248942,1034.589423,1079.823866,1118.222844,1127.347264
